datetime,tweet,label,Text_cleansing,Text_slang,Text_stopword,Text_stemming,tokens
6/26/2022 12:52,PeduliLindungi berubah fungsi jadi buat beli Minyak goreng curah? https://t.co/NmhcUBaL1F,0,pedulilindungi berubah fungsi jadi buat beli minyak goreng curah  ,pedulilindungi berubah fungsi jadi buat beli minyak goreng curah,pedulilindungi berubah fungsi beli minyak goreng curah,pedulilindungi ubah fungsi beli minyak goreng curah,"['pedulilindungi', 'ubah', 'fungsi', 'beli', 'minyak', 'goreng', 'curah']"
6/26/2022 12:48,"Beli Minyak Goreng Pakai PeduliLindungi Diduga Akal-akalan Luhut untuk Mengumpulkan 100 Juta Big Data
https://t.co/lYbE0c9ZnE",-1,beli minyak goreng pakai pedulilindungi diduga akal akalan luhut untuk mengumpulkan     juta big data ,beli minyak goreng pakai pedulilindungi diduga akal akalan luhut untuk mengumpulkan juta big data,beli minyak goreng pakai pedulilindungi diduga akal akalan luhut mengumpulkan juta big data,beli minyak goreng pakai pedulilindungi duga akal akal luhut kumpul juta big data,"['beli', 'minyak', 'goreng', 'pakai', 'pedulilindungi', 'duga', 'akal', 'akal', 'luhut', 'kumpul', 'juta', 'big', 'data']"
6/26/2022 12:45,"Cuma di negeri Wakanda beli migor hrs pake apk Pedulilindungi ato pake NIK 

migor sejenis makhluk apa siiih...",-1,cuma di negeri wakanda beli migor hrs pake apk pedulilindungi ato pake nik   migor sejenis makhluk apa siih  ,cuma di negeri wakanda beli minyak goreng harus pakai aplikasi pedulilindungi atau pakai nomor induk kependudukan minyak goreng sejenis makhluk apa siih,negeri wakanda beli minyak goreng pakai aplikasi pedulilindungi pakai nomor induk kependudukan minyak goreng sejenis makhluk siih,negeri wakanda beli minyak goreng pakai aplikasi pedulilindungi pakai nomor induk duduk minyak goreng jenis makhluk siih,"['negeri', 'wakanda', 'beli', 'minyak', 'goreng', 'pakai', 'aplikasi', 'pedulilindungi', 'pakai', 'nomor', 'induk', 'duduk', 'minyak', 'goreng', 'jenis', 'makhluk', 'siih']"
6/26/2022 12:44,Sosialisasi dimulai pekan depan https://t.co/sqVeD2Hv5k,1,sosialisasi dimulai pekan depan ,sosialisasi dimulai pekan depan,sosialisasi pekan,sosialisasi pekan,"['sosialisasi', 'pekan']"
6/26/2022 12:36,"@tvOneNews Nanti yg ikut pemilu pake pedulilindungi, bikin ktp pake pedulilindungi, tp yg bayar pajak seluruh rakyat. Begitu pak?",-1, nanti yg ikut pemilu pake pedulilindungi  bikin ktp pake pedulilindungi  tp yg bayar pajak seluruh rakyat  begitu pak ,nanti yang ikut pemilu pakai pedulilindungi bikin kartu tanda penduduk pakai pedulilindungi tapi yang bayar pajak seluruh rakyat begitu pak,pemilu pakai pedulilindungi bikin kartu tanda penduduk pakai pedulilindungi bayar pajak rakyat,milu pakai pedulilindungi bikin kartu tanda duduk pakai pedulilindungi bayar pajak rakyat,"['milu', 'pakai', 'pedulilindungi', 'bikin', 'kartu', 'tanda', 'duduk', 'pakai', 'pedulilindungi', 'bayar', 'pajak', 'rakyat']"
6/26/2022 12:30,"Pemerintah melakukan transisi perubahan sistem penjualan dan pembelian minyak goreng dengan aplikasi PeduliLindungi yang sosialisasinya akan mulai pada Senin, (27/6). Begini respons pedagang pasar. https://t.co/JcPgTBgarV",0,pemerintah melakukan transisi perubahan sistem penjualan dan pembelian minyak goreng dengan aplikasi pedulilindungi yang sosialisasinya akan mulai pada senin          begini respons pedagang pasar  ,pemerintah melakukan transisi perubahan sistem penjualan dan pembelian minyak goreng dengan aplikasi pedulilindungi yang sosialisasinya akan mulai pada senin begini respons pedagang pasar,pemerintah transisi perubahan sistem penjualan pembelian minyak goreng aplikasi pedulilindungi sosialisasinya senin respons pedagang pasar,perintah transisi ubah sistem jual beli minyak goreng aplikasi pedulilindungi sosialisasi senin respons dagang pasar,"['perintah', 'transisi', 'ubah', 'sistem', 'jual', 'beli', 'minyak', 'goreng', 'aplikasi', 'pedulilindungi', 'sosialisasi', 'senin', 'respons', 'dagang', 'pasar']"
6/26/2022 12:29,"#BeritaSampit
Warga Sampit Keberatan dengan Wacana Beli Minyak Goreng Gunakan PeduliLindungi https://t.co/xDITEQtKCu SAMPIT - Pemerintah akan segera menambah syarat pembelian minyak g... https://t.co/D2WAwzC0qO",-1,beritasampit warga sampit keberatan dengan wacana beli minyak goreng gunakan pedulilindungi  sampit   pemerintah akan segera menambah syarat pembelian minyak g   ,beritasampit warga sampit keberatan dengan wacana beli minyak goreng gunakan pedulilindungi sampit pemerintah akan segera menambah syarat pembelian minyak tidak,beritasampit warga sampit keberatan wacana beli minyak goreng pedulilindungi sampit pemerintah menambah syarat pembelian minyak,beritasampit warga sampit berat wacana beli minyak goreng pedulilindungi sampit perintah tambah syarat beli minyak,"['beritasampit', 'warga', 'sampit', 'berat', 'wacana', 'beli', 'minyak', 'goreng', 'pedulilindungi', 'sampit', 'perintah', 'tambah', 'syarat', 'beli', 'minyak']"
6/26/2022 12:28,@tvOneNews Cuman beli minyak goreng harus pakai pedulilindungi segala?,-1, cuman beli minyak goreng harus pakai pedulilindungi segala ,cuman beli minyak goreng harus pakai pedulilindungi segala,cuman beli minyak goreng pakai pedulilindungi,cuman beli minyak goreng pakai pedulilindungi,"['cuman', 'beli', 'minyak', 'goreng', 'pakai', 'pedulilindungi']"
6/26/2022 12:21,"Apakah setelah ini gorengan akan menjadi rebusan dan ayam goreng jadi ayam rebus.  
Normalisasi harga minyak goreng, cukupkah dengan hanya membentuk satgas? https://t.co/j7L1bs9pAx
#minyakgoreng
#pedulilindungi",-1,apakah setelah ini gorengan akan menjadi rebusan dan ayam goreng jadi ayam rebus    normalisasi harga minyak goreng  cukupkah dengan hanya membentuk satgas   minyakgoreng pedulilindungi,apakah setelah ini gorengan akan menjadi rebusan dan ayam goreng jadi ayam rebus normalisasi harga minyak goreng cukupkah dengan hanya membentuk satuan tugas minyakgoreng pedulilindungi,gorengan rebusan ayam goreng ayam rebus normalisasi harga minyak goreng membentuk satuan tugas minyakgoreng pedulilindungi,goreng rebus ayam goreng ayam rebus normalisasi harga minyak goreng bentuk satu tugas minyakgoreng pedulilindungi,"['goreng', 'rebus', 'ayam', 'goreng', 'ayam', 'rebus', 'normalisasi', 'harga', 'minyak', 'goreng', 'bentuk', 'satu', 'tugas', 'minyakgoreng', 'pedulilindungi']"
6/26/2022 12:19,"Apakah setelah ini gorengan akan menjadi rebusan dan ayam goreng jadi ayam rebus.  
Normalisasi harga minyak goreng, cukupkah dengan hanya membentuk satgas? https://t.co/okEiDFjMep

#minyakgoreng
#pedulilindungi",-1,apakah setelah ini gorengan akan menjadi rebusan dan ayam goreng jadi ayam rebus    normalisasi harga minyak goreng  cukupkah dengan hanya membentuk satgas    minyakgoreng pedulilindungi,apakah setelah ini gorengan akan menjadi rebusan dan ayam goreng jadi ayam rebus normalisasi harga minyak goreng cukupkah dengan hanya membentuk satuan tugas minyakgoreng pedulilindungi,gorengan rebusan ayam goreng ayam rebus normalisasi harga minyak goreng membentuk satuan tugas minyakgoreng pedulilindungi,goreng rebus ayam goreng ayam rebus normalisasi harga minyak goreng bentuk satu tugas minyakgoreng pedulilindungi,"['goreng', 'rebus', 'ayam', 'goreng', 'ayam', 'rebus', 'normalisasi', 'harga', 'minyak', 'goreng', 'bentuk', 'satu', 'tugas', 'minyakgoreng', 'pedulilindungi']"
6/26/2022 12:19,Beli minyak goreng suruh pake pedulilindungi wkwkwkw,-1,beli minyak goreng suruh pake pedulilindungi wkwkwkw,beli minyak goreng suruh pakai pedulilindungi wkwkwkw,beli minyak goreng suruh pakai pedulilindungi wkwkwkw,beli minyak goreng suruh pakai pedulilindungi wkwkwkw,"['beli', 'minyak', 'goreng', 'suruh', 'pakai', 'pedulilindungi', 'wkwkwkw']"
6/26/2022 12:16,"Beli Minyak Goreng Curah Pakai PeduliLindungi, Simak 3 Langkah Mudah Caranya!    https://t.co/Kk7av8lbV2",1,beli minyak goreng curah pakai pedulilindungi  simak   langkah mudah caranya   ,beli minyak goreng curah pakai pedulilindungi simak langkah mudah caranya,beli minyak goreng curah pakai pedulilindungi simak langkah mudah,beli minyak goreng curah pakai pedulilindungi simak langkah mudah,"['beli', 'minyak', 'goreng', 'curah', 'pakai', 'pedulilindungi', 'simak', 'langkah', 'mudah']"
6/26/2022 12:11,"Mulai Besok, Pemerintah Sosialisasi Sistem Jual Beli Minyak Goreng Pakai PeduliLindungi atau NIK https://t.co/f1uYWSEF6t",1,mulai besok  pemerintah sosialisasi sistem jual beli minyak goreng pakai pedulilindungi ataunik ,mulai besok pemerintah sosialisasi sistem jual beli minyak goreng pakai pedulilindungi ataunik,besok pemerintah sosialisasi sistem jual beli minyak goreng pakai pedulilindungi ataunik,besok perintah sosialisasi sistem jual beli minyak goreng pakai pedulilindungi ataunik,"['besok', 'perintah', 'sosialisasi', 'sistem', 'jual', 'beli', 'minyak', 'goreng', 'pakai', 'pedulilindungi', 'ataunik']"
6/26/2022 12:02,Alhamdulillah. Beli minyak udah gak pakai uang. Udah ganti pakai pedulilindungi. https://t.co/7cxce6VQoO,1,alhamdulillah  beli minyak udah gak pakai uang  udah ganti pakai pedulilindungi  ,alhamdulillah beli minyak sudah tidak pakai uang sudah ganti pakai pedulilindungi,alhamdulillah beli minyak pakai uang ganti pakai pedulilindungi,alhamdulillah beli minyak pakai uang ganti pakai pedulilindungi,"['alhamdulillah', 'beli', 'minyak', 'pakai', 'uang', 'ganti', 'pakai', 'pedulilindungi']"
6/26/2022 11:52,Namun wajib menunjukkan hasil negatif tes RT-PCR dengan masa berlaku 3x24 jam atau Rapid Test Antigen dengan masa berlaku 1x24 jam jika masih baru divaksin dosis pertama. Mohon untuk mengisi formulir e-HAC melalui aplikasi PeduliLindungi. (2).,0,namun wajib menunjukkan hasil negatif tes rt pcr dengan masa berlaku  x   jam atau rapid test antigen dengan masa berlaku  x   jam jika masih baru divaksin dosis pertama  mohon untuk mengisi formulir e hac melalui aplikasi pedulilindungi      ,namun wajib menunjukkan hasil negatif tes rt pcr dengan masa berlaku x jam atau rapid test antigen dengan masa berlaku x jam jika masih baru divaksin dosis pertama mohon untuk mengisi formulir e health alert card melalui aplikasi pedulilindungi,wajib hasil negatif tes rt pcr berlaku x jam rapid test antigen berlaku x jam divaksin dosis mohon mengisi formulir e health alert card aplikasi pedulilindungi,wajib hasil negatif tes rt pcr laku x jam rapid test antigen laku x jam vaksin dosis mohon isi formulir e health alert card aplikasi pedulilindungi,"['wajib', 'hasil', 'negatif', 'tes', 'rt', 'pcr', 'laku', 'x', 'jam', 'rapid', 'test', 'antigen', 'laku', 'x', 'jam', 'vaksin', 'dosis', 'mohon', 'isi', 'formulir', 'e', 'health', 'alert', 'card', 'aplikasi', 'pedulilindungi']"
6/26/2022 11:50,"Tuku minyak kudu go aplikasi pedulilindungi
Tuku pertalite kudu go aplikasi pertamina
Tilang Elte sak seneng e dewe, modal foto tok
Kasus PMK soyo parah, ra dang satset",-1,tuku minyak kudu go aplikasi pedulilindungi tuku pertalite kudu go aplikasi pertamina tilang elte sak seneng e dewe  modal foto tok kasus pmk soyo parah  ra dang satset,tuku minyak kudu go aplikasi pedulilindungi tuku pertalite kudu go aplikasi pertamina tilang elte sak seneng e dewe modal foto tok kasus foot and mouth disease soyo parah ra dang satset,tuku minyak kudu go aplikasi pedulilindungi tuku pertalite kudu go aplikasi pertamina tilang elte sak seneng e dewe modal foto tok foot and mouth disease soyo parah ra dang satset,tuku minyak kudu go aplikasi pedulilindungi tuku pertalite kudu go aplikasi pertamina tilang elte sak neng e dewe modal foto tok foot and mouth disease soyo parah ra dang satset,"['tuku', 'minyak', 'kudu', 'go', 'aplikasi', 'pedulilindungi', 'tuku', 'pertalite', 'kudu', 'go', 'aplikasi', 'pertamina', 'tilang', 'elte', 'sak', 'neng', 'e', 'dewe', 'modal', 'foto', 'tok', 'foot', 'and', 'mouth', 'disease', 'soyo', 'parah', 'ra', 'dang', 'satset']"
6/26/2022 11:47,"Ini Cara Beli Minyak Goreng Pakai PeduliLindungi, Berlaku Mulai Besok! https://t.co/wQ42i0Z3rJ",0,ini cara beli minyak goreng pakai pedulilindungi  berlaku mulai besok  ,ini cara beli minyak goreng pakai pedulilindungi berlaku mulai besok,beli minyak goreng pakai pedulilindungi berlaku besok,beli minyak goreng pakai pedulilindungi laku besok,"['beli', 'minyak', 'goreng', 'pakai', 'pedulilindungi', 'laku', 'besok']"
6/26/2022 11:45,Uji coba pembelian Minyak Goreng Curah Rakyat (MCGR) menggunakan aplikasi PeduliLindungi dilakukan besok. Ada panduan pembelian yang digunakan.  https://t.co/aaY169IUAG,1,uji coba pembelian minyak goreng curah rakyat  mcgr  menggunakan aplikasi pedulilindungi dilakukan besok  ada panduan pembelian yang digunakan   ,uji coba pembelian minyak goreng curah rakyat minyak goreng curah rakyat menggunakan aplikasi pedulilindungi dilakukan besok ada panduan pembelian yang digunakan,uji coba pembelian minyak goreng curah rakyat minyak goreng curah rakyat aplikasi pedulilindungi besok panduan pembelian,uji coba beli minyak goreng curah rakyat minyak goreng curah rakyat aplikasi pedulilindungi besok pandu beli,"['uji', 'coba', 'beli', 'minyak', 'goreng', 'curah', 'rakyat', 'minyak', 'goreng', 'curah', 'rakyat', 'aplikasi', 'pedulilindungi', 'besok', 'pandu', 'beli']"
6/26/2022 11:44,"Harga eceran tertinggi dijual direntang Rp14.000/liter atau Rp15.500/kg. Simak cara beli minyak goreng pakai PeduliLindungi.

https://t.co/8pHbaeLZII",1,harga eceran tertinggi dijual direntang rp      liter atau rp       kg  simak cara beli minyak goreng pakai pedulilindungi   ,harga eceran tertinggi dijual direntang rp liter atau rp kg simak cara beli minyak goreng pakai pedulilindungi,harga eceran tertinggi dijual direntang rp liter rp kg simak beli minyak goreng pakai pedulilindungi,harga ecer tinggi jual rentang rp liter rp kg simak beli minyak goreng pakai pedulilindungi,"['harga', 'ecer', 'tinggi', 'jual', 'rentang', 'rp', 'liter', 'rp', 'kg', 'simak', 'beli', 'minyak', 'goreng', 'pakai', 'pedulilindungi']"
6/26/2022 11:40,"Aplikasi PeduliLindungi bisa digunakan untuk mendapatkan minyak goreng murah. Berikut cara beli minyak murah dengan PeduliLindungi.

#portalyogya #minyakgoreng

https://t.co/bGZhSEUKgm",1,aplikasi pedulilindungi bisa digunakan untuk mendapatkan minyak goreng murah  berikut cara beli minyak murah dengan pedulilindungi   portalyogya minyakgoreng  ,aplikasi pedulilindungi bisa digunakan untuk mendapatkan minyak goreng murah berikut cara beli minyak murah dengan pedulilindungi portalyogya minyakgoreng,aplikasi pedulilindungi minyak goreng murah beli minyak murah pedulilindungi portalyogya minyakgoreng,aplikasi pedulilindungi minyak goreng murah beli minyak murah pedulilindungi portalyogya minyakgoreng,"['aplikasi', 'pedulilindungi', 'minyak', 'goreng', 'murah', 'beli', 'minyak', 'murah', 'pedulilindungi', 'portalyogya', 'minyakgoreng']"
6/26/2022 11:40,Mataram Tunggu Aturan Beli Minyak Goreng dengan PeduliLindungi https://t.co/Rskl3CEQ8Q,0,mataram tunggu aturan beli minyak goreng dengan pedulilindungi ,mataram tunggu aturan beli minyak goreng dengan pedulilindungi,mataram tunggu aturan beli minyak goreng pedulilindungi,mataram tunggu atur beli minyak goreng pedulilindungi,"['mataram', 'tunggu', 'atur', 'beli', 'minyak', 'goreng', 'pedulilindungi']"
6/26/2022 11:37,"@PartaiSocmed Catat.....
PeduliLindungi buat syarat beli migor curah bakal bertahan 1-2 mggu...
Sebabnya:
1.Atensi masyarakat tinggi karena ribetnya aturan
2.Kelangkaan stok",-1, catat   pedulilindungi buat syarat beli migor curah bakal bertahan     mggu   sebabnya    atensi masyarakat tinggi karena ribetnya aturan   kelangkaan stok,catat pedulilindungi buat syarat beli minyak goreng curah bakal bertahan mggu sebabnya atensi masyarakat tinggi karena ribetnya aturan kelangkaan stok,catat pedulilindungi syarat beli minyak goreng curah bertahan mggu atensi masyarakat ribetnya aturan kelangkaan stok,catat pedulilindungi syarat beli minyak goreng curah tahan mggu atensi masyarakat ribetnya atur langka stok,"['catat', 'pedulilindungi', 'syarat', 'beli', 'minyak', 'goreng', 'curah', 'tahan', 'mggu', 'atensi', 'masyarakat', 'ribetnya', 'atur', 'langka', 'stok']"
