tweet,TextBlob
PeduliLindungi berubah fungsi jadi buat beli Minyak goreng curah? https://t.co/NmhcUBaL1F,0
"Beli Minyak Goreng Pakai PeduliLindungi Diduga Akal-akalan Luhut untuk Mengumpulkan 100 Juta Big Data
https://t.co/lYbE0c9ZnE",-1
"Cuma di negeri Wakanda beli migor hrs pake apk Pedulilindungi ato pake NIK 

migor sejenis makhluk apa siiih...",1
Sosialisasi dimulai pekan depan https://t.co/sqVeD2Hv5k,0
"@tvOneNews Nanti yg ikut pemilu pake pedulilindungi, bikin ktp pake pedulilindungi, tp yg bayar pajak seluruh rakyat. Begitu pak?",0
"Pemerintah melakukan transisi perubahan sistem penjualan dan pembelian minyak goreng dengan aplikasi PeduliLindungi yang sosialisasinya akan mulai pada Senin, (27/6). Begini respons pedagang pasar. https://t.co/JcPgTBgarV",0
"#BeritaSampit
Warga Sampit Keberatan dengan Wacana Beli Minyak Goreng Gunakan PeduliLindungi https://t.co/xDITEQtKCu SAMPIT - Pemerintah akan segera menambah syarat pembelian minyak g... https://t.co/D2WAwzC0qO",-1
@tvOneNews Cuman beli minyak goreng harus pakai pedulilindungi segala?,0
"Apakah setelah ini gorengan akan menjadi rebusan dan ayam goreng jadi ayam rebus.  
Normalisasi harga minyak goreng, cukupkah dengan hanya membentuk satgas? https://t.co/j7L1bs9pAx
#minyakgoreng
#pedulilindungi",-1
"Apakah setelah ini gorengan akan menjadi rebusan dan ayam goreng jadi ayam rebus.  
Normalisasi harga minyak goreng, cukupkah dengan hanya membentuk satgas? https://t.co/okEiDFjMep

#minyakgoreng
#pedulilindungi",-1
Beli minyak goreng suruh pake pedulilindungi wkwkwkw,0
"Beli Minyak Goreng Curah Pakai PeduliLindungi, Simak 3 Langkah Mudah Caranya!    https://t.co/Kk7av8lbV2",1
"Mulai Besok, Pemerintah Sosialisasi Sistem Jual Beli Minyak Goreng Pakai PeduliLindungi atauÂ NIK https://t.co/f1uYWSEF6t",0
Alhamdulillah. Beli minyak udah gak pakai uang. Udah ganti pakai pedulilindungi. https://t.co/7cxce6VQoO,0
